t,y,y1,y2
35.2166953,-29.3896484375,0.3076171875,-10.1513671875
35.2686885,-30.6103515625,3.8720703125,-2.6318359375
35.2794189,-31.0009765625,8.7060546875,3.6669921875
35.306686,-31.6357421875,12.7587890625,8.4521484375
35.3392789,-32.3681640625,17.1533203125,12.8955078125
35.3775421,-33.2470703125,20.9619140625,15.0927734375
35.3999406,-34.3212890625,22.0361328125,15.8740234375
35.447866,-35.0537109375,21.4501953125,13.5302734375
35.4568939,-36.1279296875,20.9619140625,11.2353515625
35.4858872,-37.5439453125,20.6689453125,9.1845703125
35.518946,-37.9345703125,19.0576171875,7.4267578125
35.5488922,-39.1552734375,18.1298828125,5.5224609375
35.5961263,-40.3271484375,15.7373046875,3.5205078125
35.6101957,-41.3037109375,13.6376953125,1.2744140625
35.653631,-42.6220703125,11.4892578125,-0.1416015625
35.6726446,-43.6962890625,8.9990234375,-2.7294921875
35.7127108,-43.2568359375,5.4833984375,-5.5126953125
35.7349621,-40.2294921875,3.3349609375,-6.9775390625
35.7742095,-37.2998046875,1.0888671875,-8.9794921875
35.7964597,-35.7373046875,-0.5224609375,-10.8349609375
35.8366382,-34.3701171875,-2.2802734375,-13.4228515625
35.8506283,-32.3681640625,-3.5498046875,-14.8388671875
35.8953151,-30.1220703125,-4.7216796875,-16.9873046875
35.9153438,-28.7548828125,-6.2353515625,-18.2080078125
35.9556604,-27.7783203125,-7.5537109375,-20.4052734375
35.9770285,-27.9248046875,-9.5556640625,-22.6513671875
36.0201315,-27.8271484375,-11.4111328125,-24.2138671875
36.0291982,-27.4365234375,-10.5810546875,-25.3857421875
36.0763128,-26.7041015625,-6.7236328125,-23.1396484375
36.0970009,-27.8759765625,-2.4267578125,-18.1103515625
36.1333275,-28.8037109375,0.4052734375,-11.3232421875
36.1543852,-28.8037109375,5.0927734375,-5.5615234375
36.1954338,-29.1943359375,8.7060546875,-0.8251953125
36.2163915,-30.4638671875,12.9541015625,2.9345703125
36.2551441,-30.7568359375,17.4462890625,6.0595703125
36.2739718,-31.5380859375,19.3994140625,6.4990234375
36.3133777,-32.8564453125,19.6435546875,5.2294921875
36.3342578,-33.8330078125,20.7177734375,3.2763671875
36.3731132,-35.2001953125,20.3759765625,0.8349609375
36.394678,-36.0791015625,19.7900390625,-1.0693359375
